Group,Device,Reading,DateTime
2,5,20.44,21/3/2024 16/37
2,6,20.94,21/3/2024 16/37
2,7,20.94,21/3/2024 16/37
2,8,20.87,21/3/2024 16/37
2,9,20.5,21/3/2024 16/37
2,10,20.81,21/3/2024 16/37
2,11,21.19,21/3/2024 16/37
2,12,20.12,21/3/2024 16/37
2,13,20.69,21/3/2024 16/37
2,14,21.25,21/3/2024 16/37
2,15,21.06,21/3/2024 16/37
2,16,20.5,21/3/2024 16/37
2,17,21.19,21/3/2024 16/37
2,18,20.44,21/3/2024 16/37
2,19,20.81,21/3/2024 16/37
2,20,20.75,21/3/2024 16/37
2,21,20.44,21/3/2024 16/37
2,22,20.25,21/3/2024 16/37
2,0,20.75,21/3/2024 16/27
2,1,21.19,21/3/2024 16/27
2,2,21.19,21/3/2024 16/27
2,3,21.81,21/3/2024 16/27
2,4,20.5,21/3/2024 16/27
2,5,20.56,21/3/2024 16/27
2,6,21,21/3/2024 16/27
2,7,21,21/3/2024 16/27
2,8,20.94,21/3/2024 16/27
2,9,20.62,21/3/2024 16/27
2,10,20.87,21/3/2024 16/27
2,11,21.25,21/3/2024 16/27
2,12,20.19,21/3/2024 16/27
2,13,20.69,21/3/2024 16/27
2,14,21.31,21/3/2024 16/27
2,15,21.06,21/3/2024 16/27
2,16,20.62,21/3/2024 16/27
2,17,21.25,21/3/2024 16/27
2,18,20.44,21/3/2024 16/27
2,19,20.81,21/3/2024 16/27
2,20,20.81,21/3/2024 16/27
2,21,20.5,21/3/2024 16/27
2,22,20.44,21/3/2024 16/27
2,0,20.81,21/3/2024 16/28
2,1,21.19,21/3/2024 16/28
2,3,21.81,21/3/2024 16/28
2,4,20.5,21/3/2024 16/28
2,5,20.62,21/3/2024 16/28
2,6,21.06,21/3/2024 16/28
2,7,21,21/3/2024 16/28
2,8,20.94,21/3/2024 16/28
2,9,20.69,21/3/2024 16/28
2,10,20.87,21/3/2024 16/28
2,11,21.25,21/3/2024 16/28
2,12,20.25,21/3/2024 16/28
2,13,20.75,21/3/2024 16/28
2,14,21.31,21/3/2024 16/28
2,15,21.12,21/3/2024 16/28
2,16,20.62,21/3/2024 16/28
2,17,21.25,21/3/2024 16/28
2,18,20.5,21/3/2024 16/28
2,19,20.81,21/3/2024 16/28
2,20,20.81,21/3/2024 16/28
2,21,20.5,21/3/2024 16/28
2,22,20.37,21/3/2024 16/28
2,0,20.75,21/3/2024 16/30
2,1,21.19,21/3/2024 16/30
2,2,21.25,21/3/2024 16/30
2,3,21.81,21/3/2024 16/30
2,4,20.56,21/3/2024 16/30
2,5,20.69,21/3/2024 16/30
2,6,21.06,21/3/2024 16/30
2,7,21.06,21/3/2024 16/30
2,8,21,21/3/2024 16/30
2,9,20.62,21/3/2024 16/30
2,10,20.87,21/3/2024 16/30
2,11,21.25,21/3/2024 16/30
2,12,20.25,21/3/2024 16/30
2,13,20.75,21/3/2024 16/30
2,14,21.31,21/3/2024 16/30
2,15,21.12,21/3/2024 16/30
2,16,20.56,21/3/2024 16/30
2,17,21.25,21/3/2024 16/30
2,18,20.44,21/3/2024 16/30
2,19,20.87,21/3/2024 16/30
2,20,20.81,21/3/2024 16/30
2,21,20.5,21/3/2024 16/30
2,22,20.44,21/3/2024 16/30
2,0,20.69,21/3/2024 16/23
2,1,20.44,21/3/2024 16/23
2,2,20.62,21/3/2024 16/23
2,3,21.37,21/3/2024 16/23
2,4,19.81,21/3/2024 16/23
2,5,20.87,21/3/2024 16/23
2,6,20.44,21/3/2024 16/23
2,7,20.44,21/3/2024 16/23
2,8,20.94,21/3/2024 16/23
2,9,20.81,21/3/2024 16/23
2,10,20.87,21/3/2024 16/23
2,11,20.56,21/3/2024 16/23
2,12,20.06,21/3/2024 16/23
2,13,20.69,21/3/2024 16/23
2,14,20.69,21/3/2024 16/23
2,15,20.44,21/3/2024 16/23
2,16,20.19,21/3/2024 16/23
2,17,20.5,21/3/2024 16/23
2,18,20.06,21/3/2024 16/23
2,19,20.31,21/3/2024 16/23
